销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额
2021050433-30,8000175525,8000030246,8000001377,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001317,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001341,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001353,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001413,套塑子工序,1
2021050433-30,8000175525,8000030246,8000225972,套塑子工序,1.117532
2021050433-30,8000175525,8000030246,8000283272,套塑子工序,0.076396
2021050433-30,8000175525,8000030246,8000001269,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001281,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001389,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001293,套塑子工序,1
2021050433-30,8000175525,8000030246,8000001365,套塑子工序,1
2021050433-30,8000175525,8000030246,8000224609,套塑子工序,2.17238
2021050433-30,8000175525,8000030246,8000001305,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001293,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001281,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001401,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001341,套塑子工序,1
2021050433-30,8000175525,8000030245,8000283271,套塑子工序,0.076396
2021050433-30,8000175525,8000030245,8000225972,套塑子工序,1.117532
2021050433-30,8000175525,8000030245,8000001353,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001305,套塑子工序,1
2021050433-30,8000175525,8000030245,8000224609,套塑子工序,2.17238
2021050433-30,8000175525,8000030245,8000001317,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001377,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001389,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001365,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001269,套塑子工序,1
2021050433-30,8000175525,8000030245,8000001413,套塑子工序,1
2021050433-30,8000175525,8000030247,8000225972,套塑子工序,1.117532
2021050433-30,8000175525,8000030247,8000001293,套塑子工序,1
2021050433-30,8000175525,8000030247,8000283273,套塑子工序,0.076396
2021050433-30,8000175525,8000030247,8000001353,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001413,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001269,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001305,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001341,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001389,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001317,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001377,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001401,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001365,套塑子工序,1
2021050433-30,8000175525,8000030247,8000001281,套塑子工序,1
2021050433-30,8000175525,8000030247,8000224609,套塑子工序,2.17238
2021050433-30,8000175525,8000001365,8000000002,着色子工序,1
2021050433-30,8000175525,8000001365,8000225745,着色子工序,0.005877
2021050433-30,8000175525,8000001389,8000000002,着色子工序,1
2021050433-30,8000175525,8000001389,8000225747,着色子工序,0.005877
2021050433-30,8000175525,8000001269,8000225737,着色子工序,0.005877
2021050433-30,8000175525,8000001269,8000000002,着色子工序,1
2021050433-30,8000175525,8000001305,8000000002,着色子工序,1
2021050433-30,8000175525,8000001305,8000225740,着色子工序,0.005877
2021050433-30,8000175525,8000001341,8000225743,着色子工序,0.005877
2021050433-30,8000175525,8000001341,8000000002,着色子工序,1
2021050433-30,8000175525,8000001293,8000000002,着色子工序,1
2021050433-30,8000175525,8000001293,8000225739,着色子工序,0.005877
2021050433-30,8000175525,8000001377,8000000002,着色子工序,1
2021050433-30,8000175525,8000001377,8000225746,着色子工序,0.005877
2021050433-30,8000175525,8000001401,8000225748,着色子工序,0.005877
2021050433-30,8000175525,8000001401,8000000002,着色子工序,1
2021050433-30,8000175525,8000001353,8000225744,着色子工序,0.005877
2021050433-30,8000175525,8000001353,8000000002,着色子工序,1
2021050433-30,8000175525,8000001281,8000000002,着色子工序,1
2021050433-30,8000175525,8000001281,8000225738,着色子工序,0.005877
2021050433-30,8000175525,8000001317,8000000002,着色子工序,1
2021050433-30,8000175525,8000001317,8000225741,着色子工序,0.005877
2021050433-30,8000175525,8000001413,8000000002,着色子工序,1
2021050343-10,8000175655,8000175655,8000223233,外护子工序,9.843
2021050343-10,8000175655,8000175655,8000053471,外护子工序,1.017
2021050343-10,8000175655,8000175655,8000284246,外护子工序,57.505
2021050343-10,8000175655,8000175655,8000225974,外护子工序,9.869
2021050343-10,8000175655,8000053471,8000051658,成缆子工序,1
2021050343-10,8000175655,8000053471,8000222314,成缆子工序,20.492625
2021050343-10,8000175655,8000053471,8000033397,成缆子工序,1
2021050343-10,8000175655,8000053471,8000275219,成缆子工序,0.254671
2021050343-10,8000175655,8000053471,8000033396,成缆子工序,1
2021050343-10,8000175655,8000053471,8000033394,成缆子工序,1
2021050343-10,8000175655,8000053471,8000239089,成缆子工序,0.254671
2021050343-10,8000175655,8000053471,8000033395,成缆子工序,1
2021050343-10,8000175655,8000033397,8000001317,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001389,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001281,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001305,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001341,套塑子工序,1
2021050343-10,8000175655,8000033397,8000225972,套塑子工序,1.795477
2021050343-10,8000175655,8000033397,8000283273,套塑子工序,0.115044
2021050343-10,8000175655,8000033397,8000224609,套塑子工序,3.295969
2021050343-10,8000175655,8000033397,8000001401,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001365,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001293,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001377,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001413,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001353,套塑子工序,1
2021050343-10,8000175655,8000033397,8000001269,套塑子工序,1
2021050343-10,8000175655,8000033396,8000283272,套塑子工序,0.115044
2021050343-10,8000175655,8000033396,8000001401,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001293,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001281,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001365,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001269,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001389,套塑子工序,1
2021050343-10,8000175655,8000033396,8000225972,套塑子工序,1.795477
2021050343-10,8000175655,8000033396,8000001305,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001413,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001341,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001317,套塑子工序,1
2021050343-10,8000175655,8000033396,8000001353,套塑子工序,1
2021050343-10,8000175655,8000033396,8000224609,套塑子工序,3.295969
2021050343-10,8000175655,8000033396,8000001377,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001401,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001353,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001377,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001413,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001389,套塑子工序,1
2021050343-10,8000175655,8000033394,8000283270,套塑子工序,0.115044
2021050343-10,8000175655,8000033394,8000001317,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001365,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001281,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001305,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001269,套塑子工序,1
2021050343-10,8000175655,8000033394,8000001293,套塑子工序,1
2021050343-10,8000175655,8000033394,8000225972,套塑子工序,1.795477
2021050343-10,8000175655,8000033394,8000224609,套塑子工序,3.295969
2021050343-10,8000175655,8000033394,8000001341,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001317,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001389,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001269,套塑子工序,1
2021050343-10,8000175655,8000033395,8000283271,套塑子工序,0.115044
2021050343-10,8000175655,8000033395,8000001353,套塑子工序,1
2021050343-10,8000175655,8000033395,8000225972,套塑子工序,1.795477
2021050343-10,8000175655,8000033395,8000001365,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001305,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001413,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001377,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001293,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001281,套塑子工序,1
2021050343-10,8000175655,8000033395,8000001341,套塑子工序,1
2021050343-10,8000175655,8000033395,8000224609,套塑子工序,3.295969
2021050343-10,8000175655,8000033395,8000001401,套塑子工序,1
2021050343-10,8000175655,8000001317,8000225741,着色子工序,0.0059
2021050343-10,8000175655,8000001317,8000000002,着色子工序,1
2021050343-10,8000175655,8000001389,8000000002,着色子工序,1
2021050343-10,8000175655,8000001389,8000225747,着色子工序,0.0059
2021050343-10,8000175655,8000001281,8000225738,着色子工序,0.0059
2021050343-10,8000175655,8000001281,8000000002,着色子工序,1
2021050343-10,8000175655,8000001305,8000225740,着色子工序,0.0059
2021050343-10,8000175655,8000001305,8000000002,着色子工序,1
2021050343-10,8000175655,8000001341,8000225743,着色子工序,0.0059
2021050343-10,8000175655,8000001341,8000000002,着色子工序,1
2021050343-10,8000175655,8000001401,8000000002,着色子工序,1
2021050343-10,8000175655,8000001401,8000225748,着色子工序,0.0059
2021050343-10,8000175655,8000001365,8000225745,着色子工序,0.0059
2021050343-10,8000175655,8000001365,8000000002,着色子工序,1
2021050343-10,8000175655,8000001293,8000000002,着色子工序,1
2021050343-10,8000175655,8000001293,8000225739,着色子工序,0.0059
2021050343-10,8000175655,8000001377,8000225746,着色子工序,0.0059
2021050343-10,8000175655,8000001377,8000000002,着色子工序,1
2021050343-10,8000175655,8000001413,8000000002,着色子工序,1
2021050343-10,8000175655,8000001353,8000000002,着色子工序,1
2021050343-10,8000175655,8000001353,8000225744,着色子工序,0.0059
2021050343-10,8000175655,8000001269,8000225737,着色子工序,0.0059
2021050343-10,8000175655,8000001269,8000000002,着色子工序,1
2021050385-100,8000176161,8000176161,8000058711,外护子工序,1.02
2021050385-100,8000176161,8000176161,8000258320,外护子工序,14.816
2021050385-100,8000176161,8000176161,8000225974,外护子工序,13.724
2021050385-100,8000176161,8000176161,8000284246,外护子工序,72.84
2021050385-100,8000176161,8000058711,8000033396,成缆子工序,1
2021050385-100,8000176161,8000058711,8000239089,成缆子工序,0.303922
2021050385-100,8000176161,8000058711,8000033399,成缆子工序,1
2021050385-100,8000176161,8000058711,8000033400,成缆子工序,1
2021050385-100,8000176161,8000058711,8000033401,成缆子工序,1
2021050385-100,8000176161,8000058711,8000033394,成缆子工序,1
2021050385-100,8000176161,8000058711,8000033397,成缆子工序,1
2021050385-100,8000176161,8000058711,8000033398,成缆子工序,1
2021050385-100,8000176161,8000058711,8000051791,成缆子工序,1.029412
2021050385-100,8000176161,8000058711,8000275219,成缆子工序,0.303922
2021050385-100,8000176161,8000058711,8000033395,成缆子工序,1
2021050385-100,8000176161,8000033396,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033396,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033396,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033396,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033396,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033396,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033396,8000283272,套塑子工序,0.115686
2021050385-100,8000176161,8000033396,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033399,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033399,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033399,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033399,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033399,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033400,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033400,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033400,8000283276,套塑子工序,0.115686
2021050385-100,8000176161,8000033400,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033400,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033400,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033400,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033401,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033401,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033401,8000283277,套塑子工序,0.115686
2021050385-100,8000176161,8000033401,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033401,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033401,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033401,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033394,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033394,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033394,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033394,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033394,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033394,8000283270,套塑子工序,0.115686
2021050385-100,8000176161,8000033397,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033397,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033397,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033397,8000283273,套塑子工序,0.115686
2021050385-100,8000176161,8000033397,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033397,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033397,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033397,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033398,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033398,8000001365,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033398,8000224617,套塑子工序,0.115686
2021050385-100,8000176161,8000033398,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033398,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033398,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033398,8000001269,套塑子工序,1
2021050385-100,8000176161,8000051791,8000224419,加强件子工序,8.946667
2021050385-100,8000176161,8000051791,8000222316,加强件子工序,24.504762
2021050385-100,8000176161,8000033395,8000001413,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001305,套塑子工序,1
2021050385-100,8000176161,8000033395,8000225972,套塑子工序,1.795098
2021050385-100,8000176161,8000033395,8000001353,套塑子工序,1
2021050385-100,8000176161,8000033395,8000224609,套塑子工序,3.296078
2021050385-100,8000176161,8000033395,8000001401,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001281,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001377,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001341,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001269,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001293,套塑子工序,1
2021050385-100,8000176161,8000033395,8000283271,套塑子工序,0.115686
2021050385-100,8000176161,8000033395,8000001389,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001317,套塑子工序,1
2021050385-100,8000176161,8000033395,8000001365,套塑子工序,1
2021050385-100,8000176161,8000001269,8000225737,着色子工序,0.005882
2021050385-100,8000176161,8000001269,8000000002,着色子工序,1
2021050385-100,8000176161,8000001413,8000000002,着色子工序,1
2021050385-100,8000176161,8000001293,8000225739,着色子工序,0.005882
2021050385-100,8000176161,8000001293,8000000002,着色子工序,1
2021050385-100,8000176161,8000001389,8000225747,着色子工序,0.005882
2021050385-100,8000176161,8000001389,8000000002,着色子工序,1
2021050385-100,8000176161,8000001281,8000000002,着色子工序,1
2021050385-100,8000176161,8000001281,8000225738,着色子工序,0.005882
2021050385-100,8000176161,8000001377,8000000002,着色子工序,1
2021050385-100,8000176161,8000001377,8000225746,着色子工序,0.005882
2021050385-100,8000176161,8000001401,8000000002,着色子工序,1
2021050385-100,8000176161,8000001401,8000225748,着色子工序,0.005882
2021050385-100,8000176161,8000001341,8000000002,着色子工序,1
2021050385-100,8000176161,8000001341,8000225743,着色子工序,0.005882
2021050385-100,8000176161,8000001353,8000000002,着色子工序,1
2021050385-100,8000176161,8000001353,8000225744,着色子工序,0.005882
2021050385-100,8000176161,8000001305,8000225740,着色子工序,0.005882
2021050385-100,8000176161,8000001305,8000000002,着色子工序,1
2021050385-100,8000176161,8000001317,8000225741,着色子工序,0.005882
2021050385-100,8000176161,8000001317,8000000002,着色子工序,1
