销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额,采购
2021050433-20,8000175459,8000028447,8000001281,套塑子工序,1,8000001281
2021050433-20,8000175459,8000028447,8000001317,套塑子工序,1,8000001317
2021050433-20,8000175459,8000028447,8000001413,套塑子工序,1,8000001413
2021050433-20,8000175459,8000028447,8000224609,套塑子工序,1.863859,是
2021050433-20,8000175459,8000028447,8000001269,套塑子工序,1,8000001269
2021050433-20,8000175459,8000028447,8000001305,套塑子工序,1,8000001305
2021050433-20,8000175459,8000028447,8000225972,套塑子工序,0.565132,是
2021050433-20,8000175459,8000028447,8000001293,套塑子工序,1,8000001293
2021050433-20,8000175459,8000028444,8000001413,套塑子工序,1,8000001413
2021050433-20,8000175459,8000028444,8000001317,套塑子工序,1,8000001317
2021050433-20,8000175459,8000028444,8000224609,套塑子工序,1.863859,是
2021050433-20,8000175459,8000028444,8000001281,套塑子工序,1,8000001281
2021050433-20,8000175459,8000028444,8000283270,套塑子工序,0.065622,是
2021050433-20,8000175459,8000028444,8000001305,套塑子工序,1,8000001305
2021050433-20,8000175459,8000028444,8000001293,套塑子工序,1,8000001293
2021050433-20,8000175459,8000028444,8000001269,套塑子工序,1,8000001269
2021050433-20,8000175459,8000028444,8000225972,套塑子工序,0.565132,是
2021050433-20,8000175459,8000028446,8000001269,套塑子工序,1,8000001269
2021050433-20,8000175459,8000028446,8000001293,套塑子工序,1,8000001293
2021050433-20,8000175459,8000028446,8000001281,套塑子工序,1,8000001281
2021050433-20,8000175459,8000028446,8000001317,套塑子工序,1,8000001317
2021050433-20,8000175459,8000028446,8000001305,套塑子工序,1,8000001305
2021050433-20,8000175459,8000028446,8000001413,套塑子工序,1,8000001413
2021050433-20,8000175459,8000028446,8000224609,套塑子工序,1.863859,是
2021050433-20,8000175459,8000028446,8000283272,套塑子工序,0.065622,是
2021050433-20,8000175459,8000028446,8000225972,套塑子工序,0.565132,是
2021050433-20,8000175459,8000028445,8000001293,套塑子工序,1,8000001293
2021050433-20,8000175459,8000028445,8000225972,套塑子工序,0.565132,是
2021050433-20,8000175459,8000028445,8000001269,套塑子工序,1,8000001269
2021050433-20,8000175459,8000028445,8000001281,套塑子工序,1,8000001281
2021050433-20,8000175459,8000028445,8000001413,套塑子工序,1,8000001413
2021050433-20,8000175459,8000028445,8000224609,套塑子工序,1.863859,是
2021050433-20,8000175459,8000028445,8000001317,套塑子工序,1,8000001317
2021050433-20,8000175459,8000028445,8000001305,套塑子工序,1,8000001305
2021050433-20,8000175459,8000028445,8000283271,套塑子工序,0.065622,是
2021050433-20,8000175459,8000001281,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001281,8000225738,着色子工序,0.005877,是
2021050433-20,8000175459,8000001317,8000225741,着色子工序,0.005877,是
2021050433-20,8000175459,8000001317,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001413,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001269,8000225737,着色子工序,0.005877,是
2021050433-20,8000175459,8000001269,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001305,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001305,8000225740,着色子工序,0.005877,是
2021050433-20,8000175459,8000001293,8000000002,着色子工序,1,是
2021050433-20,8000175459,8000001293,8000225739,着色子工序,0.005877,是
2021050433-30,8000175525,8000175525,8000225974,外护子工序,7.066,是
2021050433-30,8000175525,8000175525,8000223227,外护子工序,8.146,是
2021050433-30,8000175525,8000175525,8000224420,外护子工序,40.912,是
2021050433-30,8000175525,8000175525,8000052391,外护子工序,1.021,8000052391
2021050433-30,8000175525,8000052391,8000275219,成缆子工序,0.228208,是
2021050433-30,8000175525,8000052391,8000051649,成缆子工序,1,是
2021050433-30,8000175525,8000052391,8000030244,成缆子工序,1,8000030244
2021050433-30,8000175525,8000052391,8000030246,成缆子工序,1,8000030246
2021050433-30,8000175525,8000052391,8000030245,成缆子工序,1,8000030245
2021050433-30,8000175525,8000052391,8000030247,成缆子工序,1,8000030247
2021050433-30,8000175525,8000052391,8000222309,成缆子工序,15.136141,是
2021050433-30,8000175525,8000052391,8000239089,成缆子工序,0.228208,是
2021050433-30,8000175525,8000030244,8000001365,套塑子工序,1,8000001365
2021050433-30,8000175525,8000030244,8000224609,套塑子工序,2.17238,是
2021050433-30,8000175525,8000030244,8000001389,套塑子工序,1,8000001389
2021050433-30,8000175525,8000030244,8000225972,套塑子工序,1.117532,是
2021050433-30,8000175525,8000030244,8000001269,套塑子工序,1,8000001269
2021050433-30,8000175525,8000030244,8000001305,套塑子工序,1,8000001305
2021050433-30,8000175525,8000030244,8000001341,套塑子工序,1,8000001341
2021050433-30,8000175525,8000030244,8000001293,套塑子工序,1,8000001293
2021050433-30,8000175525,8000030244,8000001377,套塑子工序,1,8000001377
2021050433-30,8000175525,8000030244,8000283270,套塑子工序,0.076396,是
2021050433-30,8000175525,8000030244,8000001401,套塑子工序,1,8000001401
2021050433-30,8000175525,8000030244,8000001353,套塑子工序,1,8000001353
2021050433-30,8000175525,8000030244,8000001281,套塑子工序,1,8000001281
2021050433-30,8000175525,8000030244,8000001317,套塑子工序,1,8000001317
2021050433-30,8000175525,8000030244,8000001413,套塑子工序,1,8000001413
2021050433-30,8000175525,8000030246,8000001401,套塑子工序,1,8000001401
2021050433-30,8000175525,8000030246,8000001377,套塑子工序,1,8000001377
2021050433-30,8000175525,8000030246,8000001317,套塑子工序,1,8000001317
2021050433-30,8000175525,8000030246,8000001341,套塑子工序,1,8000001341
2021050433-30,8000175525,8000030246,8000001353,套塑子工序,1,8000001353
2021050433-30,8000175525,8000030246,8000001413,套塑子工序,1,8000001413
2021050433-30,8000175525,8000030246,8000225972,套塑子工序,1.117532,是
2021050433-30,8000175525,8000030246,8000283272,套塑子工序,0.076396,是
2021050433-30,8000175525,8000030246,8000001269,套塑子工序,1,8000001269
2021050433-30,8000175525,8000030246,8000001281,套塑子工序,1,8000001281
2021050433-30,8000175525,8000030246,8000001389,套塑子工序,1,8000001389
2021050433-30,8000175525,8000030246,8000001293,套塑子工序,1,8000001293
2021050433-30,8000175525,8000030246,8000001365,套塑子工序,1,8000001365
2021050433-30,8000175525,8000030246,8000224609,套塑子工序,2.17238,是
2021050433-30,8000175525,8000030246,8000001305,套塑子工序,1,8000001305
2021050433-30,8000175525,8000030245,8000001293,套塑子工序,1,8000001293
2021050433-30,8000175525,8000030245,8000001281,套塑子工序,1,8000001281
2021050433-30,8000175525,8000030245,8000001401,套塑子工序,1,8000001401
2021050433-30,8000175525,8000030245,8000001341,套塑子工序,1,8000001341
2021050433-30,8000175525,8000030245,8000283271,套塑子工序,0.076396,是
2021050433-30,8000175525,8000030245,8000225972,套塑子工序,1.117532,是
2021050433-30,8000175525,8000030245,8000001353,套塑子工序,1,8000001353
2021050433-30,8000175525,8000030245,8000001305,套塑子工序,1,8000001305
2021050433-30,8000175525,8000030245,8000224609,套塑子工序,2.17238,是
2021050433-30,8000175525,8000030245,8000001317,套塑子工序,1,8000001317
2021050433-30,8000175525,8000030245,8000001377,套塑子工序,1,8000001377
2021050433-30,8000175525,8000030245,8000001389,套塑子工序,1,8000001389
2021050433-30,8000175525,8000030245,8000001365,套塑子工序,1,8000001365
2021050433-30,8000175525,8000030245,8000001269,套塑子工序,1,8000001269
2021050433-30,8000175525,8000030245,8000001413,套塑子工序,1,8000001413
2021050433-30,8000175525,8000030247,8000225972,套塑子工序,1.117532,是
2021050433-30,8000175525,8000030247,8000001293,套塑子工序,1,8000001293
2021050433-30,8000175525,8000030247,8000283273,套塑子工序,0.076396,是
2021050433-30,8000175525,8000030247,8000001353,套塑子工序,1,8000001353
2021050433-30,8000175525,8000030247,8000001413,套塑子工序,1,8000001413
2021050433-30,8000175525,8000030247,8000001269,套塑子工序,1,8000001269
2021050433-30,8000175525,8000030247,8000001305,套塑子工序,1,8000001305
2021050433-30,8000175525,8000030247,8000001341,套塑子工序,1,8000001341
2021050433-30,8000175525,8000030247,8000001389,套塑子工序,1,8000001389
2021050433-30,8000175525,8000030247,8000001317,套塑子工序,1,8000001317
2021050433-30,8000175525,8000030247,8000001377,套塑子工序,1,8000001377
2021050433-30,8000175525,8000030247,8000001401,套塑子工序,1,8000001401
2021050433-30,8000175525,8000030247,8000001365,套塑子工序,1,8000001365
2021050433-30,8000175525,8000030247,8000001281,套塑子工序,1,8000001281
2021050433-30,8000175525,8000030247,8000224609,套塑子工序,2.17238,是
2021050433-30,8000175525,8000001365,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001365,8000225745,着色子工序,0.005877,是
2021050433-30,8000175525,8000001389,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001389,8000225747,着色子工序,0.005877,是
2021050433-30,8000175525,8000001269,8000225737,着色子工序,0.005877,是
2021050433-30,8000175525,8000001269,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001305,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001305,8000225740,着色子工序,0.005877,是
2021050433-30,8000175525,8000001341,8000225743,着色子工序,0.005877,是
2021050433-30,8000175525,8000001341,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001293,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001293,8000225739,着色子工序,0.005877,是
2021050433-30,8000175525,8000001377,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001377,8000225746,着色子工序,0.005877,是
2021050433-30,8000175525,8000001401,8000225748,着色子工序,0.005877,是
2021050433-30,8000175525,8000001401,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001353,8000225744,着色子工序,0.005877,是
2021050433-30,8000175525,8000001353,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001281,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001281,8000225738,着色子工序,0.005877,是
2021050433-30,8000175525,8000001317,8000000002,着色子工序,1,是
2021050433-30,8000175525,8000001317,8000225741,着色子工序,0.005877,是
2021050433-30,8000175525,8000001413,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000175655,8000223233,外护子工序,9.843,是
2021050343-10,8000175655,8000175655,8000053471,外护子工序,1.017,8000053471
2021050343-10,8000175655,8000175655,8000284246,外护子工序,57.505,是
2021050343-10,8000175655,8000175655,8000225974,外护子工序,9.869,是
2021050343-10,8000175655,8000053471,8000051658,成缆子工序,1,是
2021050343-10,8000175655,8000053471,8000222314,成缆子工序,20.492625,是
2021050343-10,8000175655,8000053471,8000033397,成缆子工序,1,8000033397
2021050343-10,8000175655,8000053471,8000275219,成缆子工序,0.254671,是
2021050343-10,8000175655,8000053471,8000033396,成缆子工序,1,8000033396
2021050343-10,8000175655,8000053471,8000033394,成缆子工序,1,8000033394
2021050343-10,8000175655,8000053471,8000239089,成缆子工序,0.254671,是
2021050343-10,8000175655,8000053471,8000033395,成缆子工序,1,8000033395
2021050343-10,8000175655,8000033397,8000001317,套塑子工序,1,8000001317
2021050343-10,8000175655,8000033397,8000001389,套塑子工序,1,8000001389
2021050343-10,8000175655,8000033397,8000001281,套塑子工序,1,8000001281
2021050343-10,8000175655,8000033397,8000001305,套塑子工序,1,8000001305
2021050343-10,8000175655,8000033397,8000001341,套塑子工序,1,8000001341
2021050343-10,8000175655,8000033397,8000225972,套塑子工序,1.795477,是
2021050343-10,8000175655,8000033397,8000283273,套塑子工序,0.115044,是
2021050343-10,8000175655,8000033397,8000224609,套塑子工序,3.295969,是
2021050343-10,8000175655,8000033397,8000001401,套塑子工序,1,8000001401
2021050343-10,8000175655,8000033397,8000001365,套塑子工序,1,8000001365
2021050343-10,8000175655,8000033397,8000001293,套塑子工序,1,8000001293
2021050343-10,8000175655,8000033397,8000001377,套塑子工序,1,8000001377
2021050343-10,8000175655,8000033397,8000001413,套塑子工序,1,8000001413
2021050343-10,8000175655,8000033397,8000001353,套塑子工序,1,8000001353
2021050343-10,8000175655,8000033397,8000001269,套塑子工序,1,8000001269
2021050343-10,8000175655,8000033396,8000283272,套塑子工序,0.115044,是
2021050343-10,8000175655,8000033396,8000001401,套塑子工序,1,8000001401
2021050343-10,8000175655,8000033396,8000001293,套塑子工序,1,8000001293
2021050343-10,8000175655,8000033396,8000001281,套塑子工序,1,8000001281
2021050343-10,8000175655,8000033396,8000001365,套塑子工序,1,8000001365
2021050343-10,8000175655,8000033396,8000001269,套塑子工序,1,8000001269
2021050343-10,8000175655,8000033396,8000001389,套塑子工序,1,8000001389
2021050343-10,8000175655,8000033396,8000225972,套塑子工序,1.795477,是
2021050343-10,8000175655,8000033396,8000001305,套塑子工序,1,8000001305
2021050343-10,8000175655,8000033396,8000001413,套塑子工序,1,8000001413
2021050343-10,8000175655,8000033396,8000001341,套塑子工序,1,8000001341
2021050343-10,8000175655,8000033396,8000001317,套塑子工序,1,8000001317
2021050343-10,8000175655,8000033396,8000001353,套塑子工序,1,8000001353
2021050343-10,8000175655,8000033396,8000224609,套塑子工序,3.295969,是
2021050343-10,8000175655,8000033396,8000001377,套塑子工序,1,8000001377
2021050343-10,8000175655,8000033394,8000001401,套塑子工序,1,8000001401
2021050343-10,8000175655,8000033394,8000001353,套塑子工序,1,8000001353
2021050343-10,8000175655,8000033394,8000001377,套塑子工序,1,8000001377
2021050343-10,8000175655,8000033394,8000001413,套塑子工序,1,8000001413
2021050343-10,8000175655,8000033394,8000001389,套塑子工序,1,8000001389
2021050343-10,8000175655,8000033394,8000283270,套塑子工序,0.115044,是
2021050343-10,8000175655,8000033394,8000001317,套塑子工序,1,8000001317
2021050343-10,8000175655,8000033394,8000001365,套塑子工序,1,8000001365
2021050343-10,8000175655,8000033394,8000001281,套塑子工序,1,8000001281
2021050343-10,8000175655,8000033394,8000001305,套塑子工序,1,8000001305
2021050343-10,8000175655,8000033394,8000001269,套塑子工序,1,8000001269
2021050343-10,8000175655,8000033394,8000001293,套塑子工序,1,8000001293
2021050343-10,8000175655,8000033394,8000225972,套塑子工序,1.795477,是
2021050343-10,8000175655,8000033394,8000224609,套塑子工序,3.295969,是
2021050343-10,8000175655,8000033394,8000001341,套塑子工序,1,8000001341
2021050343-10,8000175655,8000033395,8000001317,套塑子工序,1,8000001317
2021050343-10,8000175655,8000033395,8000001389,套塑子工序,1,8000001389
2021050343-10,8000175655,8000033395,8000001269,套塑子工序,1,8000001269
2021050343-10,8000175655,8000033395,8000283271,套塑子工序,0.115044,是
2021050343-10,8000175655,8000033395,8000001353,套塑子工序,1,8000001353
2021050343-10,8000175655,8000033395,8000225972,套塑子工序,1.795477,是
2021050343-10,8000175655,8000033395,8000001365,套塑子工序,1,8000001365
2021050343-10,8000175655,8000033395,8000001305,套塑子工序,1,8000001305
2021050343-10,8000175655,8000033395,8000001413,套塑子工序,1,8000001413
2021050343-10,8000175655,8000033395,8000001377,套塑子工序,1,8000001377
2021050343-10,8000175655,8000033395,8000001293,套塑子工序,1,8000001293
2021050343-10,8000175655,8000033395,8000001281,套塑子工序,1,8000001281
2021050343-10,8000175655,8000033395,8000001341,套塑子工序,1,8000001341
2021050343-10,8000175655,8000033395,8000224609,套塑子工序,3.295969,是
2021050343-10,8000175655,8000033395,8000001401,套塑子工序,1,8000001401
2021050343-10,8000175655,8000001317,8000225741,着色子工序,0.0059,是
2021050343-10,8000175655,8000001317,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001389,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001389,8000225747,着色子工序,0.0059,是
2021050343-10,8000175655,8000001281,8000225738,着色子工序,0.0059,是
2021050343-10,8000175655,8000001281,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001305,8000225740,着色子工序,0.0059,是
2021050343-10,8000175655,8000001305,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001341,8000225743,着色子工序,0.0059,是
2021050343-10,8000175655,8000001341,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001401,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001401,8000225748,着色子工序,0.0059,是
2021050343-10,8000175655,8000001365,8000225745,着色子工序,0.0059,是
2021050343-10,8000175655,8000001365,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001293,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001293,8000225739,着色子工序,0.0059,是
2021050343-10,8000175655,8000001377,8000225746,着色子工序,0.0059,是
2021050343-10,8000175655,8000001377,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001413,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001353,8000000002,着色子工序,1,是
2021050343-10,8000175655,8000001353,8000225744,着色子工序,0.0059,是
2021050343-10,8000175655,8000001269,8000225737,着色子工序,0.0059,是
2021050343-10,8000175655,8000001269,8000000002,着色子工序,1,是
2021050385-100,8000176161,8000176161,8000058711,外护子工序,1.02,8000058711
2021050385-100,8000176161,8000176161,8000258320,外护子工序,14.816,是
2021050385-100,8000176161,8000176161,8000225974,外护子工序,13.724,是
2021050385-100,8000176161,8000176161,8000284246,外护子工序,72.84,是
2021050385-100,8000176161,8000058711,8000033396,成缆子工序,1,8000033396
2021050385-100,8000176161,8000058711,8000239089,成缆子工序,0.303922,是
2021050385-100,8000176161,8000058711,8000033399,成缆子工序,1,8000033399
2021050385-100,8000176161,8000058711,8000033400,成缆子工序,1,8000033400
2021050385-100,8000176161,8000058711,8000033401,成缆子工序,1,8000033401
2021050385-100,8000176161,8000058711,8000033394,成缆子工序,1,8000033394
2021050385-100,8000176161,8000058711,8000033397,成缆子工序,1,8000033397
2021050385-100,8000176161,8000058711,8000033398,成缆子工序,1,8000033398
2021050385-100,8000176161,8000058711,8000051791,成缆子工序,1.029412,8000051791
2021050385-100,8000176161,8000058711,8000275219,成缆子工序,0.303922,是
2021050385-100,8000176161,8000058711,8000033395,成缆子工序,1,8000033395
2021050385-100,8000176161,8000033396,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033396,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033396,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033396,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033396,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033396,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033396,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033396,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033396,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033396,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033396,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033396,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033396,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033396,8000283272,套塑子工序,0.115686,是
2021050385-100,8000176161,8000033396,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033399,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033399,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033399,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033399,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033399,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033399,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033399,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033399,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033399,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033399,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033399,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033399,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033399,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033399,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033400,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033400,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033400,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033400,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033400,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033400,8000283276,套塑子工序,0.115686,是
2021050385-100,8000176161,8000033400,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033400,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033400,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033400,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033400,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033400,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033400,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033400,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033400,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033401,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033401,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033401,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033401,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033401,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033401,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033401,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033401,8000283277,套塑子工序,0.115686,是
2021050385-100,8000176161,8000033401,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033401,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033401,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033401,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033401,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033401,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033401,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033394,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033394,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033394,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033394,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033394,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033394,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033394,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033394,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033394,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033394,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033394,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033394,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033394,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033394,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033394,8000283270,套塑子工序,0.115686,是
2021050385-100,8000176161,8000033397,8000001377,套塑子工序,1,8000001377
2021050385-100,8000176161,8000033397,8000001341,套塑子工序,1,8000001341
2021050385-100,8000176161,8000033397,8000001293,套塑子工序,1,8000001293
2021050385-100,8000176161,8000033397,8000224609,套塑子工序,3.296078,是
2021050385-100,8000176161,8000033397,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033397,8000001269,套塑子工序,1,8000001269
2021050385-100,8000176161,8000033397,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033397,8000001401,套塑子工序,1,8000001401
2021050385-100,8000176161,8000033397,8000283273,套塑子工序,0.115686,是
2021050385-100,8000176161,8000033397,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033397,8000001413,套塑子工序,1,8000001413
2021050385-100,8000176161,8000033397,8000001317,套塑子工序,1,8000001317
2021050385-100,8000176161,8000033397,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033397,8000001281,套塑子工序,1,8000001281
2021050385-100,8000176161,8000033397,8000001305,套塑子工序,1,8000001305
2021050385-100,8000176161,8000033398,8000001353,套塑子工序,1,8000001353
2021050385-100,8000176161,8000033398,8000225972,套塑子工序,1.795098,是
2021050385-100,8000176161,8000033398,8000001365,套塑子工序,1,8000001365
2021050385-100,8000176161,8000033398,8000001389,套塑子工序,1,8000001389
2021050385-100,8000176161,8000033398,8000001413,套塑子工序,1,8000001413
