销售订单行号,产品编码,产品名称,母件编码,子件编码,子件名称,子工序,子工序名称,数量,子件编码对应的属性,任务号,前置任务号,后置任务号,开始时间,完成时间,设备编号
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030254,套管，红,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030244,套管，蓝,二次成缆子工序,0.7017840000000001,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030251,套管，黑,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030249,套管，白,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030248,套管，灰,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030252,套管，黄,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030253,套管，紫,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030247,套管，棕,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030250,套管，红,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030246,套管，绿,二次成缆子工序,0.7017840000000001,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000270999,缆芯,二次成缆子工序,0.35055,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030245,套管，橙,二次成缆子工序,0.7017840000000001,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030255,套管，绿,二次成缆子工序,0.35089200000000004,半成品,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000239089,"扎纱,淡黄",二次成缆子工序,0.12722400000000003,原材料,0,0,0,210,210.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000275219,"扎纱,淡紫",二次成缆子工序,0.065322,原材料,0,0,0,210,210.342,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000032881,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,330,360,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,330,360,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000223851,填充料,成缆子工序,63.0,原材料,0,0,0,330,360,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000239089,"扎纱,淡黄",成缆子工序,7.02,原材料,0,0,0,330,360,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000275219,"扎纱,淡紫",成缆子工序,7.02,原材料,0,0,0,330,360,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000032881,套管，本,成缆子工序,33.717600000000026,半成品,0,0,0,360,393.45000000000005,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000283379,纱,成缆子工序,6.690000000000005,原材料,0,0,0,360,393.45000000000005,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000223851,填充料,成缆子工序,70.24500000000005,原材料,0,0,0,360,393.45000000000005,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000239089,"扎纱,淡黄",成缆子工序,7.8273000000000055,原材料,0,0,0,360,393.45000000000005,SZ17
5000224096-60,8000284363,成品3,8000284390,缆芯,8000275219,"扎纱,淡紫",成缆子工序,7.8273000000000055,原材料,0,0,0,360,393.45000000000005,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,30.270000000000003,半成品,0,0,0,450,480,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,12.0,原材料,0,0,0,450,480,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,63.0,原材料,0,0,0,450,480,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,450,480,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,450,480,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,480,540,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,480,540,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,480,540,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,480,540,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,480,540,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,540,600,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,540,600,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,540,600,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,540,600,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,540,600,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,600,660,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,600,660,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,600,660,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,600,660,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,600,660,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,660,720,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,660,720,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,660,720,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,660,720,SZ17
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,660,720,SZ17
5000221032-40,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,720,780,SZ17
5000221032-40,8000282876,成品2,8000066442,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,720,780,SZ17
5000221032-40,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,720,780,SZ17
5000221032-40,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,720,780,SZ17
5000221032-40,8000282876,成品2,8000066442,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,720,780,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,810,840,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,810,840,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,810,840,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,810,840,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,63.0,原材料,0,0,0,810,840,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,840,900,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,840,900,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,840,900,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,840,900,SZ17
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,840,900,SZ17
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031597,套管，棕,成缆子工序,61.68,半成品,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031596,套管，绿,成缆子工序,61.68,半成品,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031594,套管，蓝,成缆子工序,61.68,半成品,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031595,套管，橙,成缆子工序,61.68,半成品,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000223849,填充料,成缆子工序,63.0,原材料,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000239089,"扎纱,淡黄",成缆子工序,15.42,原材料,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000051658,绳,成缆子工序,123.36,原材料,0,0,0,180,240,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000275219,"扎纱,淡紫",成缆子工序,15.42,原材料,0,0,0,180,240,SZ16
5000224096-60,8000284363,成品3,8000284390,缆芯,8000032881,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,330,360,SZ16
5000224096-60,8000284363,成品3,8000284390,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,330,360,SZ16
5000224096-60,8000284363,成品3,8000284390,缆芯,8000223851,填充料,成缆子工序,63.0,原材料,0,0,0,330,360,SZ16
5000224096-60,8000284363,成品3,8000284390,缆芯,8000239089,"扎纱,淡黄",成缆子工序,7.02,原材料,0,0,0,330,360,SZ16
5000224096-60,8000284363,成品3,8000284390,缆芯,8000275219,"扎纱,淡紫",成缆子工序,7.02,原材料,0,0,0,330,360,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,390,420,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,390,420,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,390,420,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,390,420,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000223845,填充料,成缆子工序,63.0,原材料,0,0,0,390,420,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,420,480,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,420,480,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,420,480,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,420,480,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,420,480,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,480,540,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,480,540,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,480,540,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,480,540,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,480,540,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,540,600,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,540,600,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,540,600,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,540,600,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,540,600,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,600,660,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,600,660,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,600,660,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,600,660,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,600,660,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,660,720,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,660,720,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,660,720,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,660,720,SZ16
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,660,720,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,720,780,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,720,780,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,720,780,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,720,780,SZ16
5000221032-40,8000282876,成品2,8000066442,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,720,780,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,810,840,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,810,840,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,810,840,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,810,840,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,63.0,原材料,0,0,0,810,840,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,840,900,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,840,900,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,840,900,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,840,900,SZ16
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,840,900,SZ16
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031597,套管，棕,成缆子工序,39.578000000000024,半成品,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031596,套管，绿,成缆子工序,39.578000000000024,半成品,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031594,套管，蓝,成缆子工序,39.578000000000024,半成品,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000031595,套管，橙,成缆子工序,39.578000000000024,半成品,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000223849,填充料,成缆子工序,40.425000000000026,原材料,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000239089,"扎纱,淡黄",成缆子工序,9.894500000000006,原材料,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000051658,绳,成缆子工序,79.15600000000005,原材料,0,0,0,180,218.50000000000003,SZ13
5000239563-10,8000203645,成品4,8000055182,缆芯,8000275219,"扎纱,淡紫",成缆子工序,9.894500000000006,原材料,0,0,0,180,218.50000000000003,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000032881,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,330,360,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,330,360,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000223851,填充料,成缆子工序,63.0,原材料,0,0,0,330,360,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000239089,"扎纱,淡黄",成缆子工序,7.02,原材料,0,0,0,330,360,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000275219,"扎纱,淡紫",成缆子工序,7.02,原材料,0,0,0,330,360,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,390,420,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,390,420,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,390,420,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,390,420,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000223845,填充料,成缆子工序,63.0,原材料,0,0,0,390,420,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,420,480,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,420,480,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,420,480,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,420,480,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,420,480,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,480,540,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,480,540,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,480,540,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,480,540,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,480,540,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,540,600,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,540,600,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,540,600,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,540,600,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,540,600,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,600,660,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,600,660,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,600,660,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,600,660,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,600,660,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.540000000000006,半成品,0,0,0,660,720,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275010,纱,成缆子工序,24.0,原材料,0,0,0,660,720,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000223847,填充料,成缆子工序,126.0,原材料,0,0,0,660,720,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,660,720,SZ13
5000227010-150,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,660,720,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000031606,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,720,780,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,720,780,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,720,780,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,720,780,SZ13
5000221032-40,8000282876,成品2,8000066442,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,720,780,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,30.240000000000002,半成品,0,0,0,810,840,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,6.0,原材料,0,0,0,810,840,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,6.54,原材料,0,0,0,810,840,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,6.54,原材料,0,0,0,810,840,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,63.0,原材料,0,0,0,810,840,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000031456,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,840,900,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,840,900,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000239089,"扎纱,淡黄",成缆子工序,13.08,原材料,0,0,0,840,900,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000275219,"扎纱,淡紫",成缆子工序,13.08,原材料,0,0,0,840,900,SZ13
5000221032-10,8000286138,成品1,8000066422,缆芯,8000223845,填充料,成缆子工序,126.0,原材料,0,0,0,840,900,SZ13
5000224096-60,8000284363,成品3,8000284390,缆芯,8000032881,套管，本,成缆子工序,60.480000000000004,半成品,0,0,0,300,360,SZ11
5000224096-60,8000284363,成品3,8000284390,缆芯,8000283379,纱,成缆子工序,12.0,原材料,0,0,0,300,360,SZ11
