销售订单号,物料编码,子工序编码,时间单位,时间,产量,连续生产类别编码,设备编号,工作中心编码,换线时间,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS10,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS09,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS08,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,2,"G01020101,本",ZS07C,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,2,"G01020101,本",ZS07B,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,2,"G01020101,本",ZS07A,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS06C,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS06B,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS06A,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS05C,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS05B,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS05A,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.7,"G01020101,本",ZS04,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.7,"G01020101,本",ZS03,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.2,"G01020101,本",ZS02,A00201,5,,,,,,,,,,,
,8000001413,A0020101,分,1,1.7,"G01020101,本",ZS01,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.5,"G01020101,棕",ZS25C,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.5,"G01020101,棕",ZS25B,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.5,"G01020101,棕",ZS25A,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS24,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS23,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS22,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS21,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS20,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS19,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS18,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS17,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1,"G01020101,棕",ZS16,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS15,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS13,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,0.8,"G01020101,棕",ZS12,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS11,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS10,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS09,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS08,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,2,"G01020101,棕",ZS07C,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,2,"G01020101,棕",ZS07B,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,2,"G01020101,棕",ZS07A,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS06C,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS06B,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS06A,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS05C,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS05B,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS05A,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.7,"G01020101,棕",ZS04,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.7,"G01020101,棕",ZS03,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.2,"G01020101,棕",ZS02,A00201,5,,,,,,,,,,,
,8000001305,A0020101,分,1,1.7,"G01020101,棕",ZS01,A00201,5,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH12,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH11,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH10,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH09,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH08,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH07,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH19,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH18,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH16,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH15,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH13,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH21,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH20,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH05,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH04,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH03,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH02,A00206,20,,,,,,,,,,,
2021050425-10,8000283573,A0020601,分,1,0.07,"G01030510,GYTS,0,0.000,N,1+5,/1.82,1.95",SH01,A00206,20,,,,,,,,,,,
,8000001317,A0020101,分,1,1.5,"G01020101,灰",ZS25C,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.5,"G01020101,灰",ZS25B,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.5,"G01020101,灰",ZS25A,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS24,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS23,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS22,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS21,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS20,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS19,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS18,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS17,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1,"G01020101,灰",ZS16,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS15,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS13,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,0.8,"G01020101,灰",ZS12,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS11,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS10,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS09,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS08,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,2,"G01020101,灰",ZS07C,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,2,"G01020101,灰",ZS07B,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,2,"G01020101,灰",ZS07A,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS06C,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS06B,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS06A,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS05C,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS05B,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS05A,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.7,"G01020101,灰",ZS04,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.7,"G01020101,灰",ZS03,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.2,"G01020101,灰",ZS02,A00201,5,,,,,,,,,,,
,8000001317,A0020101,分,1,1.7,"G01020101,灰",ZS01,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.5,"G01020101,绿",ZS25C,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.5,"G01020101,绿",ZS25B,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.5,"G01020101,绿",ZS25A,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS24,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS23,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS22,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS21,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS20,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS19,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS18,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS17,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1,"G01020101,绿",ZS16,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS15,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS13,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,0.8,"G01020101,绿",ZS12,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS11,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS10,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS09,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS08,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,2,"G01020101,绿",ZS07C,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,2,"G01020101,绿",ZS07B,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,2,"G01020101,绿",ZS07A,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS06C,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS06B,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS06A,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS05C,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS05B,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS05A,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.7,"G01020101,绿",ZS04,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.7,"G01020101,绿",ZS03,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.2,"G01020101,绿",ZS02,A00201,5,,,,,,,,,,,
,8000001293,A0020101,分,1,1.7,"G01020101,绿",ZS01,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.5,"G01020101,橙",ZS25C,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.5,"G01020101,橙",ZS25B,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.5,"G01020101,橙",ZS25A,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS24,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS23,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS22,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS21,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS20,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS19,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS18,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS17,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1,"G01020101,橙",ZS16,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS15,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS13,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,0.8,"G01020101,橙",ZS12,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS11,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS10,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS09,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS08,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,2,"G01020101,橙",ZS07C,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,2,"G01020101,橙",ZS07B,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,2,"G01020101,橙",ZS07A,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS06C,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS06B,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS06A,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS05C,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS05B,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS05A,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.7,"G01020101,橙",ZS04,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.7,"G01020101,橙",ZS03,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.2,"G01020101,橙",ZS02,A00201,5,,,,,,,,,,,
,8000001281,A0020101,分,1,1.7,"G01020101,橙",ZS01,A00201,5,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.4,"G01030201,,,,棕,1.82,6,",SC19,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.3,"G01030201,,,,棕,1.82,6,",SC09,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.3,"G01030201,,,,棕,1.82,6,",SC01,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.45,"G01030201,,,,棕,1.82,6,",SC07,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.4,"G01030201,,,,棕,1.82,6,",SC03,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.5,"G01030201,,,,棕,1.82,6,",SC08,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.3,"G01030201,,,,棕,1.82,6,",SC18,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.4,"G01030201,,,,棕,1.82,6,",SC17,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.2,"G01030201,,,,棕,1.82,6,",SC15,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.32,"G01030201,,,,棕,1.82,6,",SC11,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.32,"G01030201,,,,棕,1.82,6,",SC10,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.28,"G01030201,,,,棕,1.82,6,",SC06,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.4,"G01030201,,,,棕,1.82,6,",SC02,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.42,"G01030201,,,,棕,1.82,6,",SC16,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.45,"G01030201,,,,棕,1.82,6,",SC04,A00203,30,,,,,,,,,,,
2021050425-10,8000283402,A0020301,分,1,0.28,"G01030201,,,,棕,1.82,6,",SC05,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.42,"G01030201,,,,橙,1.82,6,",SC16,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.45,"G01030201,,,,橙,1.82,6,",SC04,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.4,"G01030201,,,,橙,1.82,6,",SC19,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.3,"G01030201,,,,橙,1.82,6,",SC09,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.28,"G01030201,,,,橙,1.82,6,",SC05,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.3,"G01030201,,,,橙,1.82,6,",SC01,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.3,"G01030201,,,,橙,1.82,6,",SC18,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.4,"G01030201,,,,橙,1.82,6,",SC17,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.2,"G01030201,,,,橙,1.82,6,",SC15,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.32,"G01030201,,,,橙,1.82,6,",SC11,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.32,"G01030201,,,,橙,1.82,6,",SC10,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.45,"G01030201,,,,橙,1.82,6,",SC07,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.28,"G01030201,,,,橙,1.82,6,",SC06,A00203,30,,,,,,,,,,,
2021050425-10,8000283400,A0020301,分,1,0.4,"G01030201,,,,橙,1.82,6,",SC03,A00203,30,,,,,,,,,,,
